method,n,mean_test_acc,std_test_acc,mean_train_time_sec
bp,3,0.9128333333333334,0.007182153808805108,0.6131705393393835
dfa_3factor,3,0.9041666666666668,0.009928914005737687,0.6317451416204373
output_only,3,0.8245,0.015024979201316678,0.32678962623079616
stdp,3,0.2865,0.03487119154832539,9.629259751488766
zo_spsa,3,0.16883333333333336,0.008836477427874367,0.17493716130654016
