method,loss,ppl,accuracy
stdp_trace,5.956472128494801,386.24509476539686,0.21536286522148917
btsp_trace,5.47177326586727,237.88164638004665,0.13760603204524033
numpy_lstm,5.8740872964622985,355.6998639475822,0.0234375
