update,train_loss,valid_loss,valid_ppl,valid_acc
1,6.243243839074462,6.238331933229264,512.0037418068282,0.0
10,6.18175849419392,6.167823344882066,477.1463918143146,0.015625
20,6.077318842906922,5.840533500348416,343.9627959953795,0.0234375
