method,seed,train_size,test_size,input_dim,hidden_dim,epochs,test_acc,train_time_sec,final_train_loss,final_train_acc,mean_feedback_alignment
bp,0,5000,2000,196,128,12,0.921,0.6421497277915478,0.30380159616470337,0.918,
dfa_3factor,0,5000,2000,196,128,12,0.915,0.6595884338021278,0.30317991971969604,0.9136,0.4892657841914881
dfa_resampled,0,5000,2000,196,128,12,0.819,0.6594998948276043,0.7817030549049377,0.8018,-0.0003139529728372982
output_only,0,5000,2000,196,128,12,0.84,0.3137199841439724,0.7256067395210266,0.8252,
zo_spsa,0,5000,2000,196,32,8,0.1645,0.1647504586726427,2.231417417526245,0.1764,
stdp,0,5000,2000,196,128,1,0.3025,9.96463731303811,,0.3014,
bp,1,5000,2000,196,128,12,0.9075,0.6219571195542812,0.28325510025024414,0.9208,
dfa_3factor,1,5000,2000,196,128,12,0.902,0.6045696102082729,0.2857078015804291,0.9176,0.452696672879292
dfa_resampled,1,5000,2000,196,128,12,0.776,0.6175399739295244,0.8326805830001831,0.781,0.0011788887137165408
output_only,1,5000,2000,196,128,12,0.81,0.30117345228791237,0.8165282011032104,0.807,
zo_spsa,1,5000,2000,196,32,8,0.179,0.1663269829005003,2.2521114349365234,0.184,
stdp,1,5000,2000,196,128,1,0.3105,8.472789015620947,,0.3024,
bp,2,5000,2000,196,128,12,0.91,0.5746372472494841,0.317470908164978,0.9164,
dfa_3factor,2,5000,2000,196,128,12,0.8955,0.523723416030407,0.34865710139274597,0.897,0.45281592647247243
dfa_resampled,2,5000,2000,196,128,12,0.796,0.5882405154407024,0.7744709253311157,0.8042,0.0005093144159321374
output_only,2,5000,2000,196,128,12,0.8235,0.29703551158308983,0.7590930461883545,0.822,
zo_spsa,2,5000,2000,196,32,8,0.163,0.16148007474839687,2.2229340076446533,0.1678,
stdp,2,5000,2000,196,128,1,0.2465,10.730907954275608,,0.2526,
