method,n,mean_test_acc,std_test_acc,mean_train_time_sec
bp,3,0.9128333333333334,0.007182153808805108,0.6129146981984377
dfa_3factor,3,0.9041666666666668,0.009928914005737687,0.5959604866802692
dfa_resampled,3,0.797,0.021517434791349977,0.6217601280659437
output_only,3,0.8245,0.015024979201316678,0.30397631600499153
stdp,3,0.2865,0.03487119154832539,9.722778094311556
zo_spsa,3,0.16883333333333336,0.008836477427874367,0.16418583877384663
