method,n,mean_test_acc,std_test_acc,mean_train_time_sec
bp,3,0.8696666666666667,0.017387735140993316,0.155513317634662
dfa_3factor,3,0.8513333333333333,0.02250185177565025,0.14359265690048537
stdp,3,0.27,0.05820652884342101,3.129335170611739
zo_spsa,3,0.10933333333333334,0.016072751268321594,0.05298621580004692
