method,seed,delay,train_episodes,test_episodes,hidden_dim,epochs,overall_acc,target_acc,mean_loss,train_time_sec
bigram,0,5,1000,400,0,0,0.8571428571428571,0.0,0.5668062259254619,0.0
reservoir,0,5,1000,400,48,6,1.0,1.0,0.10177243825568659,1.363724421709776
eprop_3factor,0,5,1000,400,48,6,1.0,1.0,0.0022018641792772736,2.6252835281193256
eprop_resampled,0,5,1000,400,48,6,0.8571428571428571,0.0,0.7503603219728799,2.9078634064644575
bptt_rnn,0,5,1000,400,48,6,1.0,1.0,0.0009397568864057072,2.04295289888978
