method,n,overall_acc_mean,overall_acc_std,target_acc_mean,target_acc_std,loss_mean,train_time_sec_mean
bigram,3,0.9285714285714285,1.3597399555105182e-16,0.0,0.0,0.34751760870061704,0.0
bptt_rnn,3,0.9710119047619048,0.027473510742477125,0.5941666666666666,0.38462915039468,0.06705651623194629,13.26656773003439
eprop_3factor,3,1.0,0.0,1.0,0.0,0.0022085934066918044,16.435370253399014
eprop_resampled,3,0.8868154761904762,0.02825245120603982,0.0,0.0,0.48045686383522357,17.946193402012188
reservoir,3,0.9285714285714285,1.3597399555105182e-16,0.0,0.0,0.26175841539622796,9.319964739804467
