method,seed,epoch,overall_acc,target_acc,loss
bptt_rnn,0,1,0.9285714285714286,0.0,0.31866799624074077
bptt_rnn,0,2,0.9285714285714286,0.0,0.2741315916377666
bptt_rnn,0,3,0.9285714285714286,0.0,0.2702945880240439
bptt_rnn,0,4,0.9285714285714286,0.0,0.24147585836671373
bptt_rnn,0,5,0.9285714285714286,0.0,0.2269292448267432
bptt_rnn,0,6,0.9285714285714286,0.0,0.2099429353990175
bptt_rnn,0,7,0.9285714285714286,0.0,0.2022552431279758
bptt_rnn,0,8,0.9285714285714286,0.0,0.1957944407295333
bptt_rnn,0,9,0.9285714285714286,0.0,0.19031941210589434
bptt_rnn,0,10,0.9285714285714286,0.0,0.18546957253430582
bptt_rnn,0,11,0.9285714285714286,0.0,0.18050892607223895
bptt_rnn,0,12,0.9285714285714286,0.0,0.17642336815920243
bptt_rnn,0,13,0.9474107142857143,0.26375,0.17282200322886068
bptt_rnn,0,14,0.9474107142857143,0.26375,0.16947158505092833
bptt_rnn,0,15,0.9474107142857143,0.26375,0.1659919525779526
bptt_rnn,0,16,0.9483928571428571,0.2775,0.16294004511396412
bptt_rnn,0,17,0.9483928571428571,0.2775,0.15974555405850774
bptt_rnn,0,18,0.9483928571428571,0.2775,0.1569533379191793
bptt_rnn,0,19,0.9483928571428571,0.2775,0.15398641790947318
bptt_rnn,0,20,0.9483928571428571,0.2775,0.15134111560846386
bptt_rnn,0,21,0.9483928571428571,0.2775,0.1674949153350216
bptt_rnn,0,22,0.9285714285714286,0.0,0.14480298792435312
bptt_rnn,0,23,0.9285714285714286,0.0,0.14281931570772413
bptt_rnn,0,24,0.9285714285714286,0.0,0.14116500203423987
bptt_rnn,1,1,0.9285714285714286,0.0,0.333067198057923
bptt_rnn,1,2,0.9285714285714286,0.0,0.27924355022665354
bptt_rnn,1,3,0.9285714285714286,0.0,0.2558735562764063
bptt_rnn,1,4,0.9285714285714286,0.0,0.23780139412725915
bptt_rnn,1,5,0.9285714285714286,0.0,0.22167849086279956
bptt_rnn,1,6,0.9285714285714286,0.0,0.20809417355284807
bptt_rnn,1,7,0.9285714285714286,0.0,0.19752952544371227
bptt_rnn,1,8,0.9285714285714286,0.0,0.1866456653519883
bptt_rnn,1,9,0.9285714285714286,0.0,0.1847359419933556
bptt_rnn,1,10,0.9285714285714286,0.0,0.17962405272891058
bptt_rnn,1,11,0.9285714285714286,0.0,0.17465225737355158
bptt_rnn,1,12,0.9285714285714286,0.0,0.1710441327660865
bptt_rnn,1,13,0.9285714285714286,0.0,0.16730903530261806
bptt_rnn,1,14,0.9285714285714286,0.0,0.1636515571196315
bptt_rnn,1,15,0.9285714285714286,0.0,0.16049232280169282
bptt_rnn,1,16,0.9285714285714286,0.0,0.1578222773883992
bptt_rnn,1,17,0.9285714285714286,0.0,0.15573600010311872
bptt_rnn,1,18,0.9457142857142857,0.24,0.15328140515054955
bptt_rnn,1,19,0.9457142857142857,0.24,0.15103303269690255
bptt_rnn,1,20,0.9457142857142857,0.24,0.1483255036576597
bptt_rnn,1,21,0.9457142857142857,0.24,0.14677009146287784
bptt_rnn,1,22,0.9457142857142857,0.24,0.1452525647393412
bptt_rnn,1,23,0.9457142857142857,0.24,0.14330309339150138
bptt_rnn,1,24,0.9457142857142857,0.24,0.1417130304108119
bptt_rnn,2,1,0.9285714285714286,0.0,0.35037567460209884
bptt_rnn,2,2,0.9285714285714286,0.0,0.2396102462930271
bptt_rnn,2,3,0.9285714285714286,0.0,0.21299114347166787
bptt_rnn,2,4,0.9285714285714286,0.0,0.18985778554927363
bptt_rnn,2,5,0.9285714285714286,0.0,0.1813579343884547
bptt_rnn,2,6,0.9285714285714286,0.0,0.17527106332262127
bptt_rnn,2,7,0.9285714285714286,0.0,0.17005993035066438
bptt_rnn,2,8,0.9285714285714286,0.0,0.16619826384832265
bptt_rnn,2,9,0.9285714285714286,0.0,0.16181824647964674
bptt_rnn,2,10,0.9285714285714286,0.0,0.15806403451305084
bptt_rnn,2,11,0.9285714285714286,0.0,0.15436769315633111
bptt_rnn,2,12,0.9453571428571429,0.235,0.15413604747048007
bptt_rnn,2,13,0.9453571428571429,0.235,0.1446591350775061
bptt_rnn,2,14,0.9453571428571429,0.235,0.14554907816239937
bptt_rnn,2,15,0.9453571428571429,0.235,0.14480698416781362
bptt_rnn,2,16,0.9453571428571429,0.235,0.14299855455973265
bptt_rnn,2,17,0.9453571428571429,0.235,0.13730953632985565
bptt_rnn,2,18,0.9453571428571429,0.235,0.13831797173717308
bptt_rnn,2,19,0.9453571428571429,0.235,0.13604454797340693
bptt_rnn,2,20,0.9453571428571429,0.235,0.13419924653898432
bptt_rnn,2,21,0.9453571428571429,0.235,0.1331495049643327
bptt_rnn,2,22,0.9453571428571429,0.235,0.13375334688224566
bptt_rnn,2,23,0.9453571428571429,0.235,0.1281066741410705
bptt_rnn,2,24,0.9453571428571429,0.235,0.1289408172304599
