method,seed,delay,train_episodes,test_episodes,hidden_dim,epochs,overall_acc,target_acc,mean_loss,train_time_sec
bptt_rnn,0,12,2000,800,12,36,1.0,1.0,7.854238950643159e-05,40.940513433888555
bptt_rnn,1,12,2000,800,12,36,1.0,1.0,0.0004554337551024241,39.67472136951983
bptt_rnn,2,12,2000,800,12,36,1.0,1.0,0.00011333982050867972,40.876306276768446
