method,seed,epoch,overall_acc,target_acc,loss
bptt_rnn,0,1,0.9474107142857143,0.26375,0.17330421292827278
bptt_rnn,0,2,0.96375,0.4925,0.07590475073571969
bptt_rnn,0,3,0.9835714285714285,0.77,0.06560160744805114
bptt_rnn,0,4,1.0,1.0,0.018867681448911666
bptt_rnn,0,5,1.0,1.0,0.013208762017035006
bptt_rnn,0,6,1.0,1.0,0.0026399429261495908
bptt_rnn,0,7,1.0,1.0,0.0013758989531917531
bptt_rnn,0,8,1.0,1.0,0.0009279591839313717
bptt_rnn,0,9,1.0,1.0,0.0006975546523309503
bptt_rnn,0,10,1.0,1.0,0.000551335180562918
bptt_rnn,0,11,1.0,1.0,0.0004534765699196971
bptt_rnn,0,12,1.0,1.0,0.00039593197340951063
bptt_rnn,0,13,1.0,1.0,0.00033538280562115546
bptt_rnn,0,14,1.0,1.0,0.00029326591612098015
bptt_rnn,0,15,1.0,1.0,0.000262391313794918
bptt_rnn,0,16,1.0,1.0,0.00023684769435832167
bptt_rnn,0,17,1.0,1.0,0.00021517561711605852
bptt_rnn,0,18,1.0,1.0,0.00019727223045360766
bptt_rnn,0,19,1.0,1.0,0.00018218108518624265
bptt_rnn,0,20,1.0,1.0,0.00016920162102661399
bptt_rnn,0,21,1.0,1.0,0.00015796075053331758
bptt_rnn,0,22,1.0,1.0,0.00014809294474938853
bptt_rnn,0,23,1.0,1.0,0.00013936025564224055
bptt_rnn,0,24,1.0,1.0,0.00013157431902655447
bptt_rnn,0,25,1.0,1.0,0.00012464402894476554
bptt_rnn,0,26,1.0,1.0,0.00011838067091381176
bptt_rnn,0,27,1.0,1.0,0.00011269445831103992
bptt_rnn,0,28,1.0,1.0,0.0001075366656994549
bptt_rnn,0,29,1.0,1.0,0.00010281419941193439
bptt_rnn,0,30,1.0,1.0,9.849181864444739e-05
bptt_rnn,0,31,1.0,1.0,9.450021724659144e-05
bptt_rnn,0,32,1.0,1.0,9.08236972717568e-05
bptt_rnn,0,33,1.0,1.0,8.740616281199687e-05
bptt_rnn,0,34,1.0,1.0,8.423317034637098e-05
bptt_rnn,0,35,1.0,1.0,8.129125744284958e-05
bptt_rnn,0,36,1.0,1.0,7.854238950643159e-05
bptt_rnn,1,1,0.9285714285714286,0.0,0.23352583097328866
bptt_rnn,1,2,0.9285714285714286,0.0,0.163802968249334
bptt_rnn,1,3,0.9478571428571428,0.27,0.12990665183052533
bptt_rnn,1,4,0.9478571428571428,0.27,0.10548056918202495
bptt_rnn,1,5,0.9676785714285714,0.5475,0.08714874045084418
bptt_rnn,1,6,0.9483928571428571,0.2775,0.08963904201203919
bptt_rnn,1,7,0.9655357142857143,0.5175,0.05903986696953608
bptt_rnn,1,8,0.9630357142857143,0.4825,0.05411198509976307
bptt_rnn,1,9,0.9630357142857143,0.4825,0.06824838493996097
bptt_rnn,1,10,0.9630357142857143,0.4825,0.07071259907571323
bptt_rnn,1,11,0.9828571428571429,0.76,0.057639798013580636
bptt_rnn,1,12,1.0,1.0,0.034616718128389054
bptt_rnn,1,13,1.0,1.0,0.019538354842359003
bptt_rnn,1,14,0.9828571428571429,0.76,0.036263459476634424
bptt_rnn,1,15,0.9828571428571429,0.76,0.029919588576956445
bptt_rnn,1,16,0.9828571428571429,0.76,0.02736715044067613
bptt_rnn,1,17,1.0,1.0,0.014962810038580002
bptt_rnn,1,18,0.9828571428571429,0.76,0.04613365998338735
bptt_rnn,1,19,0.9828571428571429,0.76,0.023618746664302536
bptt_rnn,1,20,1.0,1.0,0.009372269030358208
bptt_rnn,1,21,0.9801785714285715,0.7225,0.024994809050617368
bptt_rnn,1,22,0.9828571428571429,0.76,0.016429241802606444
bptt_rnn,1,23,1.0,1.0,0.004009497875979481
bptt_rnn,1,24,0.9801785714285715,0.7225,0.04515583541263503
bptt_rnn,1,25,0.9828571428571429,0.76,0.017871281611111775
bptt_rnn,1,26,0.9828571428571429,0.76,0.03201287742935993
bptt_rnn,1,27,1.0,1.0,0.004335028832079591
bptt_rnn,1,28,0.965,0.51,0.11324139560521004
bptt_rnn,1,29,1.0,1.0,0.00205516700703053
bptt_rnn,1,30,1.0,1.0,0.0029183310006991254
bptt_rnn,1,31,1.0,1.0,0.00107025976034195
bptt_rnn,1,32,1.0,1.0,0.0010827878022373239
bptt_rnn,1,33,1.0,1.0,0.0011420264098953305
bptt_rnn,1,34,1.0,1.0,0.0005519719581261641
bptt_rnn,1,35,1.0,1.0,0.0004986918381070097
bptt_rnn,1,36,1.0,1.0,0.0004554337551024241
bptt_rnn,2,1,0.9285714285714286,0.0,0.271612044944631
bptt_rnn,2,2,0.9452678571428571,0.23375,0.13519663429435053
bptt_rnn,2,3,0.9491964285714286,0.28875,0.1014181230316335
bptt_rnn,2,4,0.9659821428571429,0.52375,0.07999147789192229
bptt_rnn,2,5,0.9659821428571429,0.52375,0.06899751972810433
bptt_rnn,2,6,0.9620535714285714,0.46875,0.056763021792818356
bptt_rnn,2,7,0.979375,0.71125,0.054170675888991396
bptt_rnn,2,8,0.9620535714285714,0.46875,0.051401753463043626
bptt_rnn,2,9,0.9620535714285714,0.46875,0.09682200142594674
bptt_rnn,2,10,0.9620535714285714,0.46875,0.04569345225668416
bptt_rnn,2,11,0.9826785714285714,0.7575,0.02959564323093855
bptt_rnn,2,12,0.979375,0.71125,0.048798768653838476
bptt_rnn,2,13,0.9826785714285714,0.7575,0.047364201793497256
bptt_rnn,2,14,1.0,1.0,0.0077823915960933045
bptt_rnn,2,15,0.979375,0.71125,0.09627784897985825
bptt_rnn,2,16,1.0,1.0,0.002010782327311582
bptt_rnn,2,17,1.0,1.0,0.0026525460638727816
bptt_rnn,2,18,0.9826785714285714,0.7575,0.028350255777002432
