method,seed,train_size,test_size,input_dim,hidden_dim,epochs,test_acc,train_time_sec,final_train_loss,final_train_acc,mean_feedback_alignment
bp,0,5000,2000,196,128,12,0.921,0.6031258162111044,0.30380159616470337,0.918,
dfa_3factor,0,5000,2000,196,128,12,0.915,0.66897994838655,0.30317991971969604,0.9136,0.4892657841914881
zo_spsa,0,5000,2000,196,32,8,0.1645,0.20789111405611038,2.231417417526245,0.1764,
stdp,0,5000,2000,196,128,1,0.3025,10.633212797343731,,0.3014,
bp,1,5000,2000,196,128,12,0.9075,0.6445112880319357,0.28325510025024414,0.9208,
dfa_3factor,1,5000,2000,196,128,12,0.902,0.6647619567811489,0.2857078015804291,0.9176,0.452696672879292
zo_spsa,1,5000,2000,196,32,8,0.179,0.19724291563034058,2.2521114349365234,0.184,
stdp,1,5000,2000,196,128,1,0.3105,10.068462651222944,,0.3024,
bp,2,5000,2000,196,128,12,0.91,0.5882524643093348,0.317470908164978,0.9164,
dfa_3factor,2,5000,2000,196,128,12,0.8955,0.5869717244058847,0.34865710139274597,0.897,0.45281592647247243
zo_spsa,2,5000,2000,196,32,8,0.163,0.16836698539555073,2.2229340076446533,0.1678,
stdp,2,5000,2000,196,128,1,0.2465,10.18804538436234,,0.2526,
